#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
       1   -8.197  -15.164   -4.806  -17.585    5.005  -10.088   19.162    1.374  -12.760   -0.305
       2    7.634  -33.250   17.746  -17.561    5.161   -2.750    3.391   -6.184  -13.124   -2.757
       3   10.520  -18.474    5.357  -14.023   -0.829   -1.923    8.298   -7.110  -11.422    3.584
       4   15.977  -20.115   10.988    1.104   -5.520   -7.355   15.940   -6.284  -13.749   -7.098
       5   12.173  -21.718   11.837   -4.777    3.610  -10.445    4.067   -4.126  -13.186   -3.950
       6   32.349  -40.739   20.258  -14.349   11.834   -2.501    7.533    1.126   -4.357   -3.884
       7   19.182  -38.576   10.239  -16.178   14.651    4.128    6.214    3.741   -7.858    0.691
       8   22.460  -40.774   14.418  -10.206    5.171  -11.498    9.934    3.439   -5.125   -6.842
       9    7.487  -18.283   -4.290    5.415   10.288  -11.154   -0.422   -5.313   -5.399   -5.470
      10    1.893  -29.718    4.167  -12.003   11.637   -3.035    6.729    8.773   -9.558    0.109
      11   20.761  -12.865    6.239  -12.508   23.102   -4.704    0.204   -5.873  -10.271    5.410
      12   15.939   -6.475   -0.181  -11.473   15.192  -10.767    5.105   -7.197  -16.370   -3.515
      13   16.422  -31.753    5.387  -12.778    2.760   -7.915    6.237   -8.235  -11.030   -7.866
      14   26.307  -22.348    6.003  -12.934    9.753   -1.024    3.749   -5.924  -12.812    1.554
      15   28.560  -49.770   15.688   -6.979   -1.187   -5.605   -0.128   -9.301   -9.393   -3.838
      16   10.898  -27.399    0.944  -12.202    4.165   -5.468   -0.936  -10.829  -12.926   -3.914
      17   20.197  -38.113   16.010  -14.353    0.616   -2.192    2.848    2.853  -14.741   -1.628
      18   22.346  -27.539   13.205  -13.795   -1.398    5.427    1.549   -5.919  -14.246    4.429
      19   18.094  -25.958    9.616    2.153   -4.658   -1.954    8.169   -4.897  -14.865    2.227
      20   17.309  -20.587    6.013    8.592    8.561   -3.097   -6.093   -7.595  -19.134   -1.322
      21   20.821  -15.361    3.520   -5.358    0.413    3.543    7.470   -4.615  -15.538    5.465
      22    6.090  -28.480    0.374  -11.892   -7.338   -4.278   12.243   -8.713  -12.972   -8.383
      23   17.972  -23.245    0.361  -11.562    7.148   -1.517    6.398  -11.813  -15.496   -4.739
      24   34.210  -24.528   14.438  -10.209   11.562   -3.862    0.768   -5.184  -12.798   -1.443
      25   27.947  -36.980   11.788  -16.282   -3.340   -1.416    8.945  -11.108  -11.366    1.016
      26   28.087  -37.304   14.517  -21.222   -9.179    1.694   10.760   -0.117  -13.652   -5.400
      27    4.581  -29.745    9.688  -20.868   -7.180   -3.453   11.278    0.909  -18.975   -1.952
      28    5.691  -39.021    8.290  -18.746    0.566  -11.848    5.283   -8.833  -11.959   -7.289
      29   32.599  -44.256   16.190   -5.053   -0.229   -9.300    4.558  -12.868  -11.650   -4.575
      30   23.325  -29.080    1.172  -19.446    5.206  -12.118   12.383   -5.581  -14.161    0.348
      31   11.882  -21.367   -3.011  -13.974   -5.862   -4.700   14.613  -10.774  -12.848   -8.060
      32    6.862  -35.189    5.600  -13.088    6.460   -4.180   12.367    1.080  -15.060  -10.994
      33   10.470  -24.296   -0.385  -24.937    5.356  -12.336   11.936   -4.326  -10.142   -5.919
      34   14.614  -29.645   10.674  -19.617   -1.871    1.486   13.388   -3.139  -14.712    0.699
      35   16.531  -22.036    0.220   -8.783   -6.560    2.991   13.172   -4.513  -14.452    2.845
      36   19.245  -19.667   -4.237  -14.595    6.423   -1.839   11.418   -6.196   -8.841   -5.338
      37   -3.832  -43.445    6.685   -9.754   -3.755    5.632   10.393   -2.526  -12.891   -4.891
      38    6.715  -20.240    3.769   -4.493    1.643    2.758    0.569   -5.935  -13.122    0.019
      39   -1.419  -28.467    4.784   -7.753   -0.454    6.541    7.011   -6.660  -12.544    4.268
      40   18.114  -20.816    6.214   -9.530    0.028   -2.430    7.325   -8.832  -10.031    5.910
      41    9.222  -20.936    2.959    0.861    7.422   -4.961   -0.265   -0.813   -9.930   -1.100
      42   22.107  -34.884   17.393    1.398   -9.157   -7.115    3.585  -16.013   -9.186   -7.302
      43   27.571  -36.398   21.470   -8.999   -2.883   -3.909    6.531   -9.561   -9.773   -9.065
      44    7.841  -40.251   17.521  -20.202    9.042    5.905    3.527   -3.703  -12.606    1.403
      45    9.962  -22.930    5.208  -17.918    4.372   -2.386    6.344   -4.805  -10.600    2.526
      46   40.456  -27.597   25.478   -9.728    2.594   -7.006   -4.894   -5.557  -17.269    2.027
      47   32.948  -30.275   21.413  -16.249    0.275   -6.120    0.332   -4.258  -11.586   -7.077
      48   37.977  -14.120   10.397   -8.308   10.021   -2.627   -3.196   -8.295  -16.124   -4.932
      49   40.636  -22.755   13.720   -8.329   12.313    0.859   -1.398   -5.205  -16.049    4.691
      50   30.821  -33.353   19.803   -3.831   10.261   -4.791   -7.426   -8.400  -14.570    3.640
      51   24.890   -7.703    8.300    9.209   -0.369   -0.347   -2.826    1.587  -19.241    4.798
      52   30.967  -25.965   16.897   -2.678   -1.608    2.806   -2.161   -4.805  -13.442    5.738
      53   25.484   -6.608   -3.501   -6.762   19.379    4.203   -5.899  -11.728  -12.654    0.922
      54   14.127  -21.051    1.750  -11.089   12.467   -6.231    3.017   -7.671   -9.983    6.584
      55   18.783  -16.736    9.764  -15.938    9.126   -9.348  -10.570  -14.999  -16.184    0.339
      56   13.429  -19.299   11.122  -18.154    6.328  -10.997   -3.057   -6.882  -13.883   -1.616
      57    3.014   -7.382   -3.600  -19.194    1.121   -5.378    9.775   -5.522  -23.496    0.251
      58    4.871   -4.629   -8.298  -12.236    5.308  -12.582    1.878  -11.639  -12.778   -0.368
      59    4.697  -31.555    2.561  -18.780   -6.951  -10.895   -2.770   -7.961   -8.841    6.547
      60  -15.377  -15.793  -12.245  -20.678    3.687   -4.994    3.104   -6.113  -22.310    4.628
      61    5.803  -16.973   -3.194  -20.705   -0.820   -6.933    9.186    0.150  -19.502    2.253
      62    7.453  -27.095    2.214  -14.094   -8.894   -9.039    8.424   -4.390  -18.243    4.699
      63    2.670  -21.555    1.234  -14.161   -3.074   -9.327    8.148  -10.042  -16.365    5.770
      64   -8.038  -24.211   -7.345   -6.213   -5.760   -3.538   13.392   -7.716   -8.964    1.019
      65   -8.167  -21.785  -14.028  -13.204    3.781   -6.339   12.581  -12.285  -14.015    4.010
      66    7.753   -1.386  -11.588  -18.630    5.067   -7.544    8.114   -8.493  -20.751    4.151
      67   -0.446   -6.321   -6.812  -11.239    1.941   -9.519   -2.912  -16.552  -19.076    1.088
      68   23.321   16.635  -17.322   -1.429   -2.466   -5.036    3.193  -14.511  -24.627    6.800
      69   15.348    0.120  -13.157  -10.098    7.919   -3.263    1.814  -12.993  -17.797   10.669
      70   33.178   -5.412   -5.801  -10.112   -0.681  -13.631   18.782   -2.087  -20.779    7.076
      71   18.054  -11.461  -10.673  -13.710    3.460  -10.002    6.817   -8.155  -18.180   10.015
      72    9.110  -19.205   -1.019  -13.180    2.510  -11.505    3.123   -7.476  -18.894    8.192
      73   -3.644  -39.300   -4.190  -22.387    5.034   -9.085    9.386   -4.038  -16.504   10.672
      74   15.103  -31.023   -0.745  -27.832    2.157  -12.716    0.846  -15.054  -16.751    5.569
      75   -7.910  -14.039  -10.350   -7.577   -0.157   -4.813    2.577   -5.580  -14.637    9.630
