#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
       1   33.261  -16.058   -8.219   -9.986    9.152    9.520    6.344   -4.349   -2.332   -5.197
       2   24.737  -29.445   -7.478  -13.303   -0.937    6.791   -7.278   -6.000   -7.030    1.020
       3   28.221   -9.039   -6.555  -12.635    0.829    3.999   -3.583   -8.770   -2.932    0.396
       4   25.973   -8.059   -2.741  -13.259   -4.831    5.473   -9.557  -11.111   -7.825    0.135
       5   31.939  -23.006    8.607  -15.776   -1.754    9.691   -6.310  -12.913  -15.126   -2.225
       6   29.274  -43.169   -6.990  -12.044    2.269    6.001   -9.028   -8.905   -6.349    2.914
       7   36.467  -45.980   -1.658  -13.519    4.884   -0.536  -10.977  -13.643  -14.929    1.853
       8   31.046  -50.111    0.271  -18.147    3.188    2.137   -7.245  -13.030  -10.424    1.800
       9   35.489  -46.765   -9.450  -19.553    4.821    6.171  -14.996   -9.210  -11.197    0.979
      10   33.824  -31.350    4.602  -12.962   -3.193    4.877   -7.597   -8.973  -12.991    5.691
      11   36.800  -29.623   -8.587   -3.693    4.816    7.627    0.802   -4.288   -8.096    1.368
      12   34.296  -35.384   -2.992  -11.557    6.861    9.521   -3.905  -10.682   -9.638    5.108
      13   34.557  -34.111   -5.367   -3.682    9.731    3.860    1.083   -6.715   -8.841    5.801
      14   30.304  -33.253   14.099  -15.245   -4.756    9.913   -9.727   -6.984   -9.280    3.702
      15   33.736  -30.719    8.186  -10.953    0.054    9.697   -1.889  -10.103  -12.450    6.534
      16   35.322  -33.343   -4.816   -5.605   12.382   10.607   -3.279  -12.637   -4.820   -0.216
      17   33.999  -42.416  -13.760   -5.201    7.566    8.828   -7.331   -8.209  -11.282    5.901
      18   33.718  -29.237   -7.378   -8.822    8.156    9.684   -4.632   -7.758   -7.228    3.516
      19   34.885  -39.031   -9.726  -12.843   10.576   12.487   -5.006   -3.931   -1.442    3.530
      20   31.569  -16.602   -2.557   -9.985   -1.879    9.313  -10.066   -4.162   -7.007    3.229
      21   34.372  -16.173  -11.150  -11.335    2.535    4.354   -8.333  -11.141   -6.608    5.754
      22   36.627  -15.526    0.227  -11.071    1.915    1.280   -7.678   -1.062   -7.183    7.082
      23   43.366  -11.867   -7.364   -7.871    8.275    1.624   -1.819   -0.997   -5.597    0.055
      24   40.719   -2.594   -3.340   -0.556    1.132   -5.787   -1.975   -2.336   -6.785    1.083
      25   42.894  -10.027    5.134   -7.906    7.924   -0.316    5.919    0.080   -1.641   -1.759
      26   45.530   -3.685   -6.628  -12.030   14.911    0.313    4.305    0.094    2.859   -0.989
      27   45.153  -11.933   -6.106  -13.119    8.075    0.867   -4.208   -4.409   -6.387    0.186
      28   41.989   -7.638   -4.214  -10.228    8.737    0.520   -0.936   -3.148   -2.728   -3.324
      29   39.554   -4.755   -8.279  -10.769   10.222    5.067    4.464   -4.650   -3.980    0.592
      30   43.853   -7.023  -19.035  -18.468   15.491    7.716    3.328   -6.999    1.083    0.229
      31   42.598   12.974  -13.393   -9.655    7.118   -1.872    2.479   -2.817   -3.779    4.919
      32   35.730   14.578  -14.463  -13.181    6.350   -2.282    6.913   -8.959    1.874    5.760
      33   35.746    9.146  -15.966  -13.650    7.665   -4.281   -0.966   -8.970    0.862    2.156
      34   34.031   21.031  -19.809   -2.759    6.549    0.075    4.805   -3.557    4.108    1.120
      35   38.230   15.404  -19.162  -15.007   10.276    2.925    7.912   -2.841    0.885   -0.948
      36   31.654   24.089  -24.929   -8.660    5.148    2.054    2.976   -6.511    1.839   -0.087
      37   34.223   21.219  -11.713   -9.030    0.610  -10.244   -3.228   -3.197   -1.811    5.847
      38   34.135   25.129  -11.299   -4.198   -1.364   -9.985   -1.232   -6.325   -0.359    3.555
      39   41.861   16.455  -13.529  -10.527    6.023   -5.237    3.216   -0.540    2.382   -5.049
      40   33.757   28.189  -19.115   -9.371    1.628   -3.366   11.320   -6.235    0.737    5.259
      41   41.385   15.172  -23.336   -1.746   10.576   -3.597    0.814    0.106    4.446   -6.640
      42   49.202    1.210  -15.772   -3.538   13.452  -10.165    2.045   -2.140   -4.313    1.706
      43   42.675    2.034  -14.138   -7.237    9.799   -1.622    3.887   -5.130   -6.091    3.628
      44   41.088    6.786  -21.911   -7.451    7.169  -10.359   -1.798   -3.854   -0.482    7.177
      45   38.262   10.209  -18.014    4.584   11.646   -5.843    4.934    3.739    8.354    4.320
      46   44.427    0.397   -0.533    1.229    7.145  -14.123    2.430    0.144   -0.030    4.396
      47   43.933    8.738   -7.313    1.712   13.950   -9.447   10.046    1.272    0.138    1.022
      48   44.284    2.368   -7.334   -2.493   14.203   -7.042    4.931    1.744    1.501    2.032
      49   43.199    5.143  -17.485   -0.489   15.747   -7.618    2.300    4.021    7.219   -0.625
      50   44.142    9.326  -25.709    0.896   18.719   -1.306    9.368    4.358    4.934    0.605
      51   36.220   22.566  -15.736    2.578   10.327   -3.182    7.013    4.470    5.411   -0.846
      52   38.303   26.527  -13.784    1.257   11.252   -0.695    8.680    5.703    8.950   -2.155
      53   39.196   23.841  -19.298    8.714   17.056   -6.768   14.771    3.329    8.405   -3.812
      54   39.971   24.754  -15.320    8.072   13.472   -8.537   12.433    2.512    6.574   -4.968
      55   40.634   22.363   -8.935    1.382    7.487   -7.658   -0.495    3.984    7.792   -3.685
      56   41.640    6.730  -10.252   -7.681    4.779    1.187   -5.801   -0.166   -1.604   -1.292
      57   41.864   -0.807  -17.568   -7.599   13.723    1.964    5.766   -1.175    1.652    1.821
      58   38.932   10.820   -6.351   -6.017    8.552    0.696    6.318    6.914    5.406   -2.805
      59   40.754    5.740   -2.483   -9.409    4.783   -2.580   -1.239   -2.985   -2.561    4.762
      60   46.391    2.304   -8.471   -0.566   10.335   -3.605    3.445    4.365   -1.497    0.730
      61   43.795   12.529  -16.256   -2.403   16.002   -5.661    5.884    0.137    1.336    2.532
      62   40.511   10.637   -7.068   -0.352    8.144   -5.345    4.112   -0.760    2.804    1.625
      63   35.546    5.230   -0.051  -11.924    6.277    5.308   -1.119    2.194   10.254   -2.772
      64   40.835   10.499    4.553   -6.410    7.326    1.380    8.714    1.514    0.487    5.608
      65   39.875    7.688  -12.978    6.385    9.078   -3.440    5.691    4.012    4.817   -0.177
      66   45.909    4.465   -4.360  -11.509    4.275    3.710   -7.142    2.302   -4.439    1.971
      67   45.774  -10.287    0.112  -12.519    8.528    5.389   -2.716    1.213   -3.906   -1.123
      68   42.659    6.699    2.600   -7.039    4.332   -6.097   -3.359   -3.472    1.189    2.207
      69   45.750   -3.788    2.556  -11.914   12.098   -6.179    7.162   -6.847    2.006   -4.875
      70   40.266    3.342   -7.517   -5.896    5.331   -6.327   -2.731   -5.074    1.484   -4.006
      71   45.668   -1.224  -16.341   -3.230   17.743   -3.283    1.652   -1.973    8.975   -9.102
      72   39.093    0.279   -2.217  -15.876   10.220    0.976    9.547   -4.845    5.103   -1.392
      73   43.207    1.467   -8.584   -9.603    7.365  -10.669    5.779   -6.228   -1.425    5.093
      74   42.916   -9.462   -8.173   -8.061    7.751   -7.729   -1.485   -4.046    0.777   -0.611
      75   38.025    3.315   -8.646  -12.244    7.623   -7.227    1.634   -1.264    4.407    6.672
      76   44.367   -4.496   -1.115  -13.167   11.340   -2.211   11.227   -2.259    1.764    0.636
      77   42.849   -3.753   -8.309  -14.735   12.729    1.604    6.557    3.292   11.227    3.052
      78   38.854    5.283   -3.548   -4.537    6.733   -6.468   11.488    3.981    7.576   -1.214
      79   38.506   -6.120  -18.304   -7.224   15.780   -4.306   11.014   -0.306    6.100   -1.329
      80   41.685   -6.961  -12.133  -12.612   12.294   -0.875    5.018   -1.668    8.573   -1.342
      81   41.006   -0.542  -18.342   -6.055    8.785   -6.944    2.432   -2.542    6.090   -0.218
      82   44.109   -1.116  -16.798   -4.496   15.466   -4.015    7.273   -1.629    4.702   -1.234
      83   51.664   -1.780    0.159   -7.964    6.205   -8.201    2.463   -1.380   -0.259   -1.076
      84   36.379   -6.537   -9.548  -12.251    5.200    2.116    6.082   -6.125    4.890    3.177
      85   41.382    7.127  -11.026   -1.985   14.547   -1.730    7.961    5.180   14.281   -5.822
      86   37.292    7.438  -15.459    5.453   10.363   -7.519    6.431    4.570    3.619   -4.002
      87   39.183    6.088  -15.825   -2.262    8.755  -15.324    2.182   -0.841    7.935   -0.539
      88   34.832    4.109   -0.938   -7.507   10.488   -5.892    9.762   -0.018   11.965   -0.199
      89   30.128    5.880    5.150  -16.728    4.204   -2.730    5.857   -1.467   16.038    0.339
      90   38.929    1.456   -0.138  -21.697    9.595    1.888    1.889    4.865   12.712   -2.973
      91   30.547   14.601    0.658  -17.049    4.345   -8.035    7.688    0.881   17.327   -0.741
      92   36.308   -3.670   -9.585  -25.129   12.637   -0.631    3.176    0.315   11.607    3.921
      93   30.645   15.660   -1.680  -25.135   -5.310   -1.815   -6.408   -1.250    6.491    2.087
      94   30.676   13.531   -8.656  -23.193   -0.140   -0.429   -5.655    1.986   13.277   -1.013
      95   38.289    5.809    1.356  -14.032    0.178   -0.446    2.511    0.928    5.891    0.372
      96   32.009   13.608   -6.737  -16.347    2.015   -3.897    6.085   -3.050   13.291    3.940
      97   43.165   -1.043  -10.019  -10.174   13.709   -1.364    5.731    1.657   10.883    4.138
      98   34.574   15.900   -8.870  -14.174    4.002   -3.207    1.492   -2.845   13.180    1.343
      99   36.156    5.792   -5.986  -24.257    5.095    0.536    2.364    0.780   10.147    4.843
     100   34.590   10.081    0.385  -16.833    3.343   -2.144    8.093   -5.277    5.029    3.999
     101   42.920    8.971    3.195  -10.882    8.486   -8.423   10.777   -2.226    4.509    0.908
     102   45.440   -4.918    4.325  -14.821    8.699   -2.879    3.962   -0.584    2.793   -0.848
     103   45.486    0.113   -1.249   -7.938    3.890  -10.639    0.848    0.464   -3.010    1.507
     104   45.366    2.842   -3.497   -7.107    5.045   -7.023   -0.424    0.696   -4.414   -4.074
     105   48.716  -11.653   -4.674   -5.378   12.430   -7.062    5.829    0.151   -0.361   -5.008
     106   47.054  -13.891   -7.093  -14.445   15.271   -0.404    1.622   -2.615   -5.926   -1.903
     107   45.655   -6.215  -12.540   -6.875   12.527   -9.876    4.772   -2.161   -8.219    4.048
     108   46.997  -16.510  -18.740   -5.041   17.263   -6.858    1.546   -1.039   -3.405    2.836
     109   53.359  -20.618  -13.487   -8.624   17.438   -6.272    3.565    0.380   -4.672    1.795
     110   43.659    0.744  -16.254    0.682   11.619   -4.628    1.323    4.821   -0.284   -4.006
     111   47.376    2.402   -7.709   -1.058   10.826  -11.596    6.900    0.249    3.460   -4.982
     112   42.218   10.623  -19.500   -3.580    9.140    0.367    6.894    1.777    1.549   -1.189
     113   40.534  -11.439  -11.571   -6.442    5.674   -4.410   -2.675   -9.657   -1.965    4.495
     114   36.831    4.094  -11.339  -11.759    9.808   -5.669    5.247   -0.236   10.186    2.396
     115   32.193    7.103  -16.554   -4.288    1.778  -12.426   -2.834   -5.373    6.509    5.321
     116   34.666    1.091   -5.139  -14.280    3.193    2.116    3.901   -4.732    7.107    1.491
     117   38.708   -4.380   -4.533  -14.716   11.739   -4.030   12.531   -4.705    6.732   -2.634
     118   33.081    5.236   -9.217  -18.919    0.367   -5.312    0.609   -6.617    8.477    2.545
     119   30.097    4.412  -12.068  -13.334   -0.404   -1.808   -5.149   -4.736    5.581   -2.898
     120   30.740    3.009  -18.416  -17.791    1.708   -7.031   -5.376   -8.609    1.623    3.901
     121   32.406   -2.149   -2.085  -28.114    2.975   -1.230   -1.869   -9.773    3.357    6.659
     122   33.809  -10.208   -5.172  -26.862    8.758    4.196    7.638  -10.871    7.707    6.406
     123   21.270   17.874  -16.635  -21.607   -3.754   -3.104   -2.062   -7.533   11.525    2.960
     124   30.255    5.680  -10.031  -17.026    4.620   -6.512    5.501   -8.833   10.268    5.816
     125   35.244    4.680  -17.130  -14.487    8.135   -2.340    2.439   -4.038    5.862    4.884
     126   34.435    0.796   -6.716  -19.333    8.020    1.133    8.343  -10.250    7.931    5.136
     127   38.051   -8.802   -9.750  -15.072    7.453   -1.519   -0.825   -9.062    7.080    4.572
     128   31.168   -0.545   -9.946  -13.722    4.104   -1.339    1.863   -9.990    4.885    5.627
     129   27.728    6.207  -12.599  -17.747   -1.126   -0.303   -6.904   -7.414    3.346    7.862
     130   32.364   -3.463   -5.454  -21.802    4.465    2.927   -1.079   -8.619    3.125    8.589
     131   43.470  -20.397   -8.064  -18.667   10.213    4.240    0.468   -4.552   -0.501    2.368
     132   33.464    5.530  -10.668  -10.923    3.952   -5.115    2.749   -3.955    2.783    1.954
     133   32.532    8.260  -21.819   -7.212   10.589   -0.033    8.990   -0.464    7.622   -3.574
     134   37.936  -10.173  -16.539   -7.123   14.769  -11.803    5.499   -4.959    1.102    1.145
     135   31.673   -1.944   -8.218  -11.663    4.139    3.871   -2.916   -9.552    2.688   -1.867
     136   40.209  -18.202   -6.789  -10.663   15.750   -2.719    4.526   -6.997   -0.317   -6.494
     137   38.220  -17.196   -8.787  -25.577   13.886    6.863   -0.821  -10.164   -0.431   -4.005
     138   28.049   -4.765  -18.488  -13.233    8.484    4.071    0.545  -10.087    3.591   -2.180
     139   29.827   -2.734  -10.129  -18.929   11.367   11.818   -5.384  -10.419   10.629   -4.353
     140   33.008   -7.967  -19.099  -10.966   14.550   -2.487    5.638   -8.070    6.198   -2.584
     141   28.715   -5.583  -17.003  -11.934    6.577   -4.466   -3.002   -6.808    0.780    4.153
     142   33.342    0.663  -26.163   -7.081   14.264    3.720    7.772   -7.425    4.408    0.642
     143   29.780   -0.817  -20.704  -12.604   13.701    4.378   12.520   -7.763    7.448   -1.195
     144   34.282   -8.834  -11.990  -12.748   11.667    2.319    6.556   -7.422    0.410    4.087
     145   39.576   -8.599   -7.183   -5.636   17.349   -0.234   11.370   -4.476    0.015   -0.206
     146   35.913  -16.095   -2.797   -6.981   17.632    5.408    9.627   -7.896    4.601    0.554
     147   35.743   -3.118    4.452  -12.188   10.257    8.530    5.730   -9.052    4.133   -1.677
     148   33.763  -19.504   -5.039   -5.634   17.076   10.372    1.163   -5.255    2.789   -0.513
     149   35.243   -9.176   -6.109  -13.618   17.253    9.935    5.349   -3.187   11.397    0.418
     150   33.249   -5.513  -11.420  -15.822   14.589   10.864   -0.005   -5.367   12.382   -1.084
