#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
       1   77.438  -63.283    0.370   42.991    9.929   12.993    8.492    4.894  -11.242   11.287
       2   64.125  -65.022   -1.599   50.121   15.727    9.639    1.786    3.083  -13.624   -2.452
       3   59.709  -65.000   -5.533   53.451    8.192    6.413    3.611   -3.167  -24.878   -4.071
       4   62.834  -52.420   -2.220   41.392   14.157    2.811    3.674  -13.052  -29.356   -8.831
       5   48.252  -71.781  -11.103   53.115    6.914   12.205    7.514   -2.822  -21.862    5.231
       6   60.395  -54.151   -6.986   55.677   14.358   10.186    3.034   -5.082  -28.512    0.568
       7   60.656  -50.637   -9.020   45.327   13.960   10.029    4.288   -6.634  -21.798  -12.005
       8   71.254  -57.456   -2.714   49.020   18.296    9.418    6.200   -4.759  -20.344   -7.486
       9   66.268  -49.748   -2.696   59.184   22.690    8.609    5.267    0.745  -25.227   -4.533
      10   64.935  -48.914   -2.937   52.127    9.953   10.389    6.070    8.682  -23.515   -4.292
      11   88.254  -59.473    6.113   56.938    3.270   21.775   12.805    1.796  -22.989    9.183
      12   80.685  -56.132   -0.427   53.622    3.700   22.522   11.161   -1.480  -20.343    3.576
      13   87.158  -52.542    1.364   45.519   17.128   19.716   13.251    1.115   -5.006   -5.314
      14   59.557  -55.532  -15.906   54.486   14.200   18.520    9.544    1.354  -12.245   -3.060
      15   55.963  -81.731  -15.494   57.159    0.789   18.633   11.877    6.246  -19.921   17.448
      16   63.280  -69.225  -11.811   53.355   -0.808   12.594    9.134    3.702  -18.335    3.788
      17   49.508  -61.754  -13.940   46.286    6.195    2.617    5.970   -0.888  -19.201   -3.755
      18   65.534  -81.515   -5.189   48.868    2.290   -3.698   -0.189  -14.042  -16.830   -9.490
      19   90.986  -70.429   13.323   44.951   18.518    4.412    2.762  -13.024  -13.549  -19.242
      20  113.791  -79.798   19.847   62.413   11.333    8.710    8.878  -11.645  -10.466   -9.057
      21  126.748  -65.226   33.637   57.202   26.358    6.806    8.229  -15.881  -10.345   -6.319
      22  130.819  -73.135   31.247   54.985   12.486   14.384    9.331   -5.436   -6.092   -9.024
      23  112.181  -71.851   30.441   55.654    9.225   14.142    2.805  -10.201  -12.858   -3.364
      24  129.692  -64.918   38.263   60.669   20.938    5.067   -0.302   -8.903  -13.215   -6.280
      25  123.478  -49.243   25.426   47.159   20.670   12.579    6.908   -0.137   -1.926   -0.659
      26  119.561  -52.368   25.485   52.668   21.210    5.236    8.233   -4.774   -8.114   -6.237
      27  106.401  -45.730   23.343   72.899   17.535    6.947   -7.210   11.979  -16.152  -12.380
      28  109.954  -61.421   26.229   64.272   24.139    1.842   -5.086    4.663   -6.002   -7.359
      29   82.077  -59.838    0.705   46.462   18.019    6.651   -1.282    4.561  -10.951   -2.952
      30   85.501  -70.526    8.778   60.276   13.344   11.496   -6.318    8.450   -7.971   -5.650
      31   87.421  -68.377    6.378   52.249   10.585   11.350   -6.969   10.428   -5.027   -7.966
