#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
       1  -52.280  -21.989   33.948  -28.870   -9.866    0.942   -4.131   13.602   -0.580   -2.627
       2  -51.270  -20.695   41.863  -28.446   -5.991    9.045   -1.663   16.864   -8.408   -5.262
       3  -44.716  -21.382   31.066  -23.433   -7.200   -2.468   -6.845   10.529  -11.915    0.750
       4  -51.405  -21.956   35.078  -13.261   -6.431    0.298    0.055    6.587    3.041   -2.039
       5  -48.381  -27.907   24.897  -18.232   -5.172   -7.440    5.390    6.205    4.359    2.160
       6  -37.358  -35.545   37.800  -15.422   -0.088   -4.618   10.678    8.463    3.026   -1.813
       7  -59.715  -30.559   32.664  -23.319   -1.719   -3.492    4.813   11.616    1.585   -0.762
       8  -50.703  -25.034   28.431  -28.603  -10.995   -1.547    6.343   13.355   -4.653    2.585
       9  -59.684   -6.079   34.265  -23.954   -6.965    2.871    2.760    5.685   -1.908    0.045
      10  -59.057  -13.853   34.394  -25.128   -8.474    2.304    4.153   12.593   -1.913    5.790
      11  -56.278  -17.370   36.627  -29.298   -7.509    2.063   -2.431    7.832    5.201    5.037
      12  -68.205   -8.731   41.361  -31.897   -9.147    9.184    0.347   14.682   -1.717   -2.275
      13  -64.071   -7.829   33.498  -30.505   -9.221    5.836    2.325   15.227    5.873   -1.717
      14  -53.699    1.763   35.842  -23.146   -9.098   10.032    6.802   15.805   -2.509    3.092
      15  -50.725  -12.649   50.153  -27.937   -8.177    8.508    3.961   16.080   -4.827   -1.392
      16  -50.366  -11.520   55.900  -30.705   -7.888    8.475    5.968   12.400   -9.513    5.018
      17  -59.627  -14.390   63.086  -30.949   -3.701    2.246    8.447   10.685   -4.299    0.418
      18  -59.803  -11.359   54.444  -29.967   -5.300    2.227    6.148    7.112   -8.948    2.351
      19  -53.362   -8.769   55.129  -24.518  -11.833    2.107    6.977    5.330   -2.579    9.496
      20  -60.072   -0.930   65.444  -30.320  -11.177    1.946    4.221    8.333   -2.811    4.762
      21  -60.058   -6.292   47.255  -27.920   -7.940    8.938    0.880    9.143   -2.922    8.367
      22  -61.218  -25.814   47.279  -30.583   -5.069   11.210   -2.611    7.887  -11.904    4.135
      23  -48.311  -25.763   40.971  -25.067   -6.841   -3.354    3.634    3.099   -0.763   11.400
      24  -44.856  -28.661   37.505  -18.997   -4.501   -0.900    8.497    8.053   -6.207   11.279
      25  -43.193  -26.857   42.331  -14.673   -2.549   -1.550   14.566    3.185    4.285   10.333
      26  -32.077  -43.812   38.906  -27.310    2.723    1.610   -2.805    7.144   -8.272    6.383
      27  -25.057  -40.114   53.315  -14.091   -0.979   -1.245    6.896    1.614   -8.818   11.938
      28  -33.811  -27.890   47.348  -16.268    5.640   -0.042    2.328   -5.930    4.813    7.995
      29  -33.210  -30.817   47.068  -11.835    6.195    4.734    7.785   -1.616    1.717    6.898
      30  -48.879  -14.344   42.890  -17.993    4.737   -7.441   13.460   -4.404    3.743    7.610
      31  -30.703  -23.891   59.044  -13.632   -1.504   -8.907   17.551    7.168    0.296    6.235
      32  -37.833  -11.706   48.754  -21.886   -1.846    2.264    2.839    0.826   -3.808    6.189
      33  -36.003  -19.773   41.691  -19.790    1.334   -1.113    7.924   -1.602   -8.159    3.962
      34  -31.034  -18.064   40.805  -17.466    0.368    2.497   10.755    5.016    0.053    2.513
      35   -9.094  -42.713   32.234   -7.318    6.437   -4.495   23.903    8.562    5.506    7.436
      36  -20.130  -37.880   38.783  -14.642    6.824   -3.358    9.930    4.779   -3.762    4.141
      37   -7.427  -42.145   28.691   -6.187    6.933   -4.204    9.331    0.834   -2.989   11.568
      38  -14.675  -45.709   35.669   -8.639    9.069    3.754    9.266    5.858   -8.873    3.440
      39   -5.890  -43.563   45.322  -10.033   12.060    6.049    7.573    0.261   -6.144    6.999
      40  -11.789  -45.064   33.786   -6.690   11.627    3.503   14.639    6.731   -1.488    3.922
      41  -23.642  -34.071   29.139  -14.297    7.112    2.150    7.971    4.085    8.426    7.755
      42  -14.790  -37.538   43.712  -12.671    8.208    3.386    5.212    1.814   -3.725    7.988
      43  -24.858  -31.549   47.270  -14.224    4.274    6.548    9.403   11.856   -8.566    4.859
      44  -28.069  -16.956   34.345  -16.704    5.775    9.007    7.253    6.044   -7.691    1.637
      45  -22.387  -38.781   37.323  -24.745    1.391    2.698    1.843    7.169   -5.747   11.490
      46  -13.062  -36.500   21.759  -16.856    5.137   -6.861    5.905    7.030   -6.707    5.371
      47    0.430  -36.554   22.909  -14.909   10.762    0.701    1.365    0.541  -15.341    9.546
      48  -13.385  -27.596   11.000  -13.054    2.184   -4.338   -2.551    1.162   -8.609   11.848
      49  -11.985  -38.441   11.916  -17.754    5.895   -0.209    0.655   10.597  -18.174    7.114
      50  -29.153  -39.027    5.650  -14.196    1.929   10.461   -1.443   11.098   -9.205   10.725
      51  -19.791  -23.091   19.502   -5.595    8.613    5.605    0.837    4.117  -15.877   10.903
      52  -24.578  -36.414   16.929  -14.196    9.888   12.047   -3.256    7.905  -16.271    8.613
      53  -28.022  -21.208   11.141  -21.649   12.423   22.330   -6.075    9.597  -17.639    0.599
      54  -39.115  -34.968   23.129  -22.586    8.525   15.766  -10.469    6.096   -7.074    6.440
      55  -38.932  -42.228   20.284  -23.549    5.915    8.547   -6.760   13.720   -4.656    6.405
      56  -46.355  -33.725    4.380  -22.521    8.199   10.048    0.439   11.013    1.481    8.521
      57  -34.403  -36.690   23.154  -18.904    8.833   10.804   -8.112    8.785   -2.802   10.392
      58  -33.613  -43.890   25.897  -21.329   10.774    9.243   -5.925    9.581   -4.534   10.153
      59  -39.681  -41.828   23.639  -12.977   11.589    8.974   -0.154    7.427   -1.735    8.673
      60  -20.635  -57.498   31.353  -15.800   12.081    4.548    1.925   11.584   -8.607    6.468
      61  -22.877  -61.693   35.507  -19.627    9.675    8.541    6.499   12.090  -11.751    2.894
      62  -25.265  -51.860   32.634  -17.452   11.981    8.441    3.789    7.872   -7.890    3.280
      63  -26.510  -49.588   25.235  -17.001    7.921    4.668    6.773    4.491   -2.495    6.311
      64  -15.743  -58.147   43.729  -16.384    9.214    6.971    4.697    7.471   -5.970    4.195
      65  -19.867  -45.563   39.489  -21.261    8.355   10.257    4.417    9.924  -10.174    7.164
      66   -7.471  -49.145   44.837  -21.024    9.669   -2.202    6.331   -2.098   -2.177   15.903
      67  -15.474  -46.511   36.588  -24.623    5.821    2.012   -0.225   -3.073   -1.780   13.473
      68  -14.766  -41.636   48.722  -22.098    5.291    2.358   -0.588   -0.810   -5.196   10.655
      69  -17.285  -54.955   49.340  -27.112    3.142    1.040    6.242    2.026   -2.005   10.246
      70   -8.233  -58.474   44.613  -27.054    6.742   10.068   -2.568    0.671   -7.469   12.208
      71  -20.649  -46.262   30.840  -18.422   10.299    7.678   -2.639   -0.182   -1.134   11.006
      72  -20.543  -49.446   43.425  -11.869    9.185   12.251   -1.407    2.479   -4.620    9.772
      73  -42.320  -47.370   32.684  -19.921    8.436   15.774   -4.198    8.677   -3.154    7.172
      74  -32.662  -41.817   39.594  -19.549    2.978    6.124   -6.979   -0.680   -4.056   12.602
      75   -7.043  -46.078   41.297  -14.751    8.741    7.809    0.187   -6.363   -2.916   11.086
      76  -40.144  -33.742   39.734  -16.921    5.879    9.825   -4.529    0.205    0.538    8.435
      77  -19.487  -52.678   40.578  -15.644    5.969   10.498    5.192    8.805   -9.948    8.075
      78  -17.198  -45.390   43.657  -14.396   12.956   15.943   -0.182    3.970  -10.550    6.825
